--------------------------Environment Versions--------------------------
- Python     : 3.8.0 (default, Dec  9 2021, 17:53:27) 
[GCC 8.4.0]
- PyTorch    : 1.12.0+cu113
- TorchVison : 0.13.0+cu113
- use_gpu    : True
- is_debug   : False [Attention!]
- workers    : 8
- epochs     : 25
- print_freq : 10
- train_file : ava_activespeaker_train_loader_checked.csv
- val_file   : ava_activespeaker_val_loader_checked.csv
------------------------------------------------------------------------
step1. model is loaded ...
there are 28770 lines in ava_activespeaker_train_loader_checked.csv
group 28770 annolines into 1074 minibatches
there are 07803 lines in ava_activespeaker_val_loader_checked.csv
group 7803 annolines into 7803 minibatches
step2. dataset is loaded ...
epoch - 01||25 is starting ...
2022-09-14 02:12:43, [01], lr 0.00010000, iter 0.93%, loss 1.1862, acc 0.7043
2022-09-14 02:12:54, [01], lr 0.00010000, iter 1.86%, loss 1.1010, acc 0.7123
2022-09-14 02:13:11, [01], lr 0.00010000, iter 2.79%, loss 1.0411, acc 0.7232
2022-09-14 02:13:29, [01], lr 0.00010000, iter 3.72%, loss 1.0096, acc 0.7335
2022-09-14 02:13:37, [01], lr 0.00010000, iter 4.66%, loss 1.0080, acc 0.7264
2022-09-14 02:13:47, [01], lr 0.00010000, iter 5.59%, loss 1.0040, acc 0.7252
2022-09-14 02:13:58, [01], lr 0.00010000, iter 6.52%, loss 1.0027, acc 0.7219
2022-09-14 02:14:19, [01], lr 0.00010000, iter 7.45%, loss 0.9925, acc 0.7247
2022-09-14 02:14:28, [01], lr 0.00010000, iter 8.38%, loss 0.9773, acc 0.7303
2022-09-14 02:14:48, [01], lr 0.00010000, iter 9.31%, loss 0.9756, acc 0.7297
2022-09-14 02:15:01, [01], lr 0.00010000, iter 10.24%, loss 0.9707, acc 0.7298
2022-09-14 02:15:09, [01], lr 0.00010000, iter 11.17%, loss 0.9641, acc 0.7318
2022-09-14 02:15:21, [01], lr 0.00010000, iter 12.10%, loss 0.9650, acc 0.7312
2022-09-14 02:15:33, [01], lr 0.00010000, iter 13.04%, loss 0.9558, acc 0.7342
2022-09-14 02:15:46, [01], lr 0.00010000, iter 13.97%, loss 0.9512, acc 0.7358
2022-09-14 02:16:07, [01], lr 0.00010000, iter 14.90%, loss 0.9504, acc 0.7349
2022-09-14 02:16:24, [01], lr 0.00010000, iter 15.83%, loss 0.9471, acc 0.7334
2022-09-14 02:16:36, [01], lr 0.00010000, iter 16.76%, loss 0.9421, acc 0.7348
2022-09-14 02:16:43, [01], lr 0.00010000, iter 17.69%, loss 0.9347, acc 0.7369
2022-09-14 02:16:59, [01], lr 0.00010000, iter 18.62%, loss 0.9268, acc 0.7392
2022-09-14 02:17:14, [01], lr 0.00010000, iter 19.55%, loss 0.9228, acc 0.7397
2022-09-14 02:17:29, [01], lr 0.00010000, iter 20.48%, loss 0.9171, acc 0.7419
2022-09-14 02:17:40, [01], lr 0.00010000, iter 21.42%, loss 0.9102, acc 0.7441
2022-09-14 02:17:57, [01], lr 0.00010000, iter 22.35%, loss 0.9074, acc 0.7450
2022-09-14 02:18:06, [01], lr 0.00010000, iter 23.28%, loss 0.9049, acc 0.7456
2022-09-14 02:18:20, [01], lr 0.00010000, iter 24.21%, loss 0.9016, acc 0.7459
2022-09-14 02:18:43, [01], lr 0.00010000, iter 25.14%, loss 0.8993, acc 0.7466
2022-09-14 02:18:56, [01], lr 0.00010000, iter 26.07%, loss 0.8956, acc 0.7479
2022-09-14 02:19:06, [01], lr 0.00010000, iter 27.00%, loss 0.8959, acc 0.7474
2022-09-14 02:19:20, [01], lr 0.00010000, iter 27.93%, loss 0.8980, acc 0.7459
2022-09-14 02:19:35, [01], lr 0.00010000, iter 28.86%, loss 0.8953, acc 0.7469
2022-09-14 02:19:46, [01], lr 0.00010000, iter 29.80%, loss 0.8911, acc 0.7482
2022-09-14 02:19:58, [01], lr 0.00010000, iter 30.73%, loss 0.8881, acc 0.7495
2022-09-14 02:20:07, [01], lr 0.00010000, iter 31.66%, loss 0.8866, acc 0.7501
2022-09-14 02:20:27, [01], lr 0.00010000, iter 32.59%, loss 0.8851, acc 0.7506
2022-09-14 02:20:39, [01], lr 0.00010000, iter 33.52%, loss 0.8819, acc 0.7512
2022-09-14 02:20:54, [01], lr 0.00010000, iter 34.45%, loss 0.8808, acc 0.7511
2022-09-14 02:21:05, [01], lr 0.00010000, iter 35.38%, loss 0.8780, acc 0.7519
2022-09-14 02:21:24, [01], lr 0.00010000, iter 36.31%, loss 0.8753, acc 0.7528
2022-09-14 02:21:37, [01], lr 0.00010000, iter 37.24%, loss 0.8724, acc 0.7540
2022-09-14 02:21:48, [01], lr 0.00010000, iter 38.18%, loss 0.8698, acc 0.7551
2022-09-14 02:21:56, [01], lr 0.00010000, iter 39.11%, loss 0.8676, acc 0.7558
2022-09-14 02:22:16, [01], lr 0.00010000, iter 40.04%, loss 0.8669, acc 0.7563
2022-09-14 02:22:30, [01], lr 0.00010000, iter 40.97%, loss 0.8642, acc 0.7572
2022-09-14 02:22:46, [01], lr 0.00010000, iter 41.90%, loss 0.8621, acc 0.7573
2022-09-14 02:23:00, [01], lr 0.00010000, iter 42.83%, loss 0.8596, acc 0.7581
2022-09-14 02:23:07, [01], lr 0.00010000, iter 43.76%, loss 0.8558, acc 0.7596
2022-09-14 02:23:20, [01], lr 0.00010000, iter 44.69%, loss 0.8549, acc 0.7598
2022-09-14 02:23:31, [01], lr 0.00010000, iter 45.62%, loss 0.8536, acc 0.7605
2022-09-14 02:23:51, [01], lr 0.00010000, iter 46.55%, loss 0.8519, acc 0.7611
2022-09-14 02:24:05, [01], lr 0.00010000, iter 47.49%, loss 0.8490, acc 0.7620
2022-09-14 02:24:16, [01], lr 0.00010000, iter 48.42%, loss 0.8473, acc 0.7627
2022-09-14 02:24:28, [01], lr 0.00010000, iter 49.35%, loss 0.8460, acc 0.7629
2022-09-14 02:24:46, [01], lr 0.00010000, iter 50.28%, loss 0.8458, acc 0.7630
2022-09-14 02:24:58, [01], lr 0.00010000, iter 51.21%, loss 0.8459, acc 0.7633
2022-09-14 02:25:12, [01], lr 0.00010000, iter 52.14%, loss 0.8444, acc 0.7637
2022-09-14 02:25:25, [01], lr 0.00010000, iter 53.07%, loss 0.8441, acc 0.7634
2022-09-14 02:25:36, [01], lr 0.00010000, iter 54.00%, loss 0.8433, acc 0.7636
2022-09-14 02:25:54, [01], lr 0.00010000, iter 54.93%, loss 0.8428, acc 0.7636
